"BehaviorSpace results (NetLogo 6.0.4)"
"MAGENTA_ABM_combined.nlogo"
"MAGENTA_experiment_onefarmer"
"07/12/2019 16:20:55:285 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-7","7","-7","7"
"[run number]","bounded-rationality?","bonus-agg","bounded-threshold","base-p","persistence","bonus-wat","water-bonus","dist","change-lim","no-agents","[step]","budget","r:get ""ay.sum""","r:get ""hi""","r:get ""wq"""
"130","false","0","uniform","0","profit","0.1","as ES model","1","6","1","100","-2.8421709430404007E-13","100.00522532015965","0","0"
"131","false","0","uniform","0","profit","0.1","as ES model","1","7","1","100","2.2737367544323206E-13","100.00522532015965","0","0"
"132","false","0","uniform","0","profit","0.1","as ES model","1","7","1","100","1.1368683772161603E-13","100.00522532015965","0","0"
"133","false","0","uniform","0","profit","0.1","as ES model","1","7","1","100","-2.8421709430404007E-13","100.00522532015965","0","0"
"134","false","0","uniform","0","profit","0.1","as ES model","1","7","1","100","2.2737367544323206E-13","100.00522532015965","0","0"
"135","false","0","uniform","0","profit","0.1","as ES model","1","7","1","100","5.6843418860808015E-14","100.00522532015965","0","0"
"136","false","0","uniform","0","profit","0.1","as ES model","1","8","1","100","2.2737367544323206E-13","100.00522532015965","0","0"
"137","false","0","uniform","0","profit","0.1","as ES model","1","8","1","100","5.6843418860808015E-14","100.00522532015965","0","0"
"138","false","0","uniform","0","profit","0.1","as ES model","1","8","1","100","-5.6843418860808015E-14","100.00522532015965","0","0"
"139","false","0","uniform","0","profit","0.1","as ES model","1","8","1","100","5.6843418860808015E-14","100.00522532015965","0","0"
"140","false","0","uniform","0","profit","0.1","as ES model","1","8","1","100","-1.1368683772161603E-13","100.00522532015965","0","0"
"141","false","0","uniform","0","profit","0.1","as ES model","1","9","1","100","-3.410605131648481E-13","100.00522532015965","0","0"
"142","false","0","uniform","0","profit","0.1","as ES model","1","9","1","100","1.7053025658242404E-13","100.00522532015965","0","0"
"143","false","0","uniform","0","profit","0.1","as ES model","1","9","1","100","-5.6843418860808015E-14","100.00522532015965","0","0"
"144","false","0","uniform","0","profit","0.1","as ES model","1","9","1","100","3.410605131648481E-13","100.00522532015965","0","0"
"145","false","0","uniform","0","profit","0.1","as ES model","1","9","1","100","-1.1368683772161603E-13","100.00522532015965","0","0"
"146","false","0","uniform","0","profit","0.1","as ES model","1","10","1","100","-5.6843418860808015E-14","100.00522532015965","0","0"
"147","false","0","uniform","0","profit","0.1","as ES model","1","10","1","100","1.1368683772161603E-13","100.00522532015965","0","0"
"148","false","0","uniform","0","profit","0.1","as ES model","1","10","1","100","-1.1368683772161603E-13","100.00522532015965","0","0"
"149","false","0","uniform","0","profit","0.1","as ES model","1","10","1","100","-1.1368683772161603E-13","100.00522532015965","0","0"
"150","false","0","uniform","0","profit","0.1","as ES model","1","10","1","100","-1.1368683772161603E-13","100.00522532015965","0","0"
"151","false","0","uniform","0","profit","0.15","as ES model","1","1","1","100","1.0499999999998977","96.67408371833781","1.4","8.11"
"152","false","0","uniform","0","profit","0.15","as ES model","1","1","1","100","1.0500000000000114","96.67408371833781","1.4","8.11"
"153","false","0","uniform","0","profit","0.15","as ES model","1","1","1","100","1.0499999999999545","96.67408371833781","1.4","8.11"
"154","false","0","uniform","0","profit","0.15","as ES model","1","1","1","100","1.0500000000000682","96.67408371833781","1.4","8.11"
"155","false","0","uniform","0","profit","0.15","as ES model","1","1","1","100","1.0500000000000682","96.67408371833781","1.4","8.11"
"156","false","0","uniform","0","profit","0.15","as ES model","1","2","1","100","-1.1368683772161603E-13","100.00522532015965","0","0"
"157","false","0","uniform","0","profit","0.15","as ES model","1","2","1","100","-1.1368683772161603E-13","100.00522532015965","0","0"
"158","false","0","uniform","0","profit","0.15","as ES model","1","2","1","100","0","100.00522532015965","0","0"
"159","false","0","uniform","0","profit","0.15","as ES model","1","2","1","100","-2.2737367544323206E-13","100.00522532015965","0","0"
"160","false","0","uniform","0","profit","0.15","as ES model","1","2","1","100","-2.2737367544323206E-13","100.00522532015965","0","0"
"161","false","0","uniform","0","profit","0.15","as ES model","1","3","1","100","-2.2737367544323206E-13","100.00522532015965","0","0"
"162","false","0","uniform","0","profit","0.15","as ES model","1","3","1","100","3.410605131648481E-13","100.00522532015965","0","0"
"163","false","0","uniform","0","profit","0.15","as ES model","1","3","1","100","-1.1368683772161603E-13","100.00522532015965","0","0"
"164","false","0","uniform","0","profit","0.15","as ES model","1","3","1","100","5.6843418860808015E-14","100.00522532015965","0","0"
"165","false","0","uniform","0","profit","0.15","as ES model","1","3","1","100","1.7053025658242404E-13","100.00522532015965","0","0"
"166","false","0","uniform","0","profit","0.15","as ES model","1","4","1","100","2.8421709430404007E-13","100.00522532015965","0","0"
"167","false","0","uniform","0","profit","0.15","as ES model","1","4","1","100","-1.1368683772161603E-13","100.00522532015965","0","0"
"168","false","0","uniform","0","profit","0.15","as ES model","1","4","1","100","5.6843418860808015E-14","100.00522532015965","0","0"
"169","false","0","uniform","0","profit","0.15","as ES model","1","4","1","100","-2.2737367544323206E-13","100.00522532015965","0","0"
"170","false","0","uniform","0","profit","0.15","as ES model","1","4","1","100","0","100.00522532015965","0","0"
